index,id,scroll_id,panel_id,text,animal_label,myth_label,tree_label,split,image_filename
0,2_13_2,2_13,2,,1,1,1,train,panel_0000.jpg
1,2_14_16,2_14,16,,0,1,0,train,panel_0001.jpg
2,1_13_2,1_13,2,"In the Panchabati forest, Rama established a home. Rama and Sita were seated (in their hut) while Lakshmana stood guard. One day Surpanakha arrived at the Panchabati forest And Lakshmana chopped off her nose and ears. With her nose in her hand, the widow rushed to the city of Lanka And fell at her elder brother Ravana’s feet.",0,0,0,train,panel_0002.jpg
3,1_1_7,1_1,7,"The enraged king summoned the warden and had Srimonto chained. Bound in chains and in pain, Srimonto started weeping. And as he wept, he invoked Durga “Oh Shankari,” he cried, “I shall die, but you seem to be unconcerned “That your name, Trailokyotarini will be tarnished.” Chandi, who in the form of a kite, was flying in the sky (heard his prayer). She assumed the garb of an aged Brahmin woman and appeared before Srimonto.",1,0,1,train,panel_0003.jpg
4,1_2_4,1_2,4,"The king Shalbahon was seated on a jewelled throne. Srimonto stood before him with folded hands And said, “In your kingdom, O king, resides Kamal Kamini. “I witnessed this woman swallowing an elephant.” The king ordered Srimonto to show him this sight. And promised him half of his kingdom and his daughter’s hand in marriage in return. But if Srimonto failed to show him the scene, the king warned He would be beheaded at the execution ground in the south.  The king travelled to Kalidaho to see Kamal Kamini. But to Srimonto’s embarrassment, the vision did not appear. The goddess Bhagoboti stayed hidden among the lotuses.",0,0,0,train,panel_0004.jpg
5,2_15_9,2_15,9,,0,1,0,train,panel_0005.jpg
6,2_11_6,2_11,6,"""Bom bom"" said Shiva and escaped into the jungle He told Narod that his advice did not work And he was unlucky If it were more audible, your aunt would have ridden the tiger",0,1,1,train,panel_0006.jpg
7,1_11_1,1_11,1,Angad then slapped Ravana and grabbed his crown And delivered it to Ram’s camp.  And then began the combat between Ram and Ravana in the city of Lanka.,0,1,1,train,panel_0007.jpg
8,2_15_6,2_15,6,,0,1,0,train,panel_0008.jpg
9,1_5_7,1_5,7,"“Don’t keep calling me dark, Bhanu Ghosh’s daughter. “God has made me dark, what can I do? “The waters of the Yamuna are dark, so why do you fill your pitcher with it? “Your bosom will be my pitcher, your hair my rope. “For me, your heart is the water of the Yamuna. “I will drown myself in these waters – this is my desire.”",0,0,1,train,panel_0009.jpg
